FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,DATA_IND,AUDIT_IND,COUNTY,HSA,HFPA,TYPE_CNTRL,TYPE_CARE,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,CEO_TITLE,WEB_SITE,OWNER,RPT_PREP,ORG_NAME,ER_DESIG,MCAR_PRO#,MCAL_PRO#,REG_MCAL#,BED_LIC,BED_AVL,BED_STF,DAY_MCAR_TR,DAY_MCAR_MC,DAY_MCAL_TR,DAY_MCAL_MC,DAY_CNTY,DAY_THRD_TR,DAY_THRD_MC,DAY_OTH_IND,DAY_OTH,DAY_TOT,DIS_MCAR_TR,DIS_MCAR_MC,DIS_MCAL_TR,DIS_MCAL_MC,DIS_CNTY,DIS_THRD_TR,DIS_THRD_MC,DIS_OTH_IND,DIS_OTH,DIS_TOT,BED_ACUTE,BED_PSYCH,BED_CHEM,BED_REHAB,BED_LTC,BED_RESDNT,DAY_ACUTE,DAY_PSYCH,DAY_CHEM,DAY_REHAB,DAY_LTC,DAY_RESDNT,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,OCC_LIC,OCC_AVL,ALOS_ALL,ALOS_EXLTC,BAS_NURSRY,DAY_NURSRY,DIS_NURSRY,VIS_MCAR_TR,VIS_MCAR_MC,VIS_MCAL_TR,VIS_MCAL_MC,VIS_CNTY,VIS_THRD_TR,VIS_THRD_MC,VIS_OTH_IND,VIS_OTH,VIS_TOT,VIS_ER,VIS_CLIN,VIS_HOME,VIS_REF_OP,DAYS_PIPS,OP_ROOM,OP_MIN_IP,OP_MIN_OP,SURG_IP,SURG_OP,NAT_ BIRTHS,C_SECTIONS,GR_PT_REV,DED_FR_REV,TOT_CAP_REV,NET_PT_REV,OTH_OP_REV,TOT_OP_EXP,NET_FRM_OP,NONOP_REV,NONOP_EXP,INC_TAX,EXT_ITEM,NET_INCOME,GR_REV_DLY,GR_REV_AMB,GR_REV_ANC,GR_IP_MCAR_TR,GR_IP_MCAR_MC,GR_IP_MCAL_TR,GR_IP_MCAL_MC,GR_IP_CNTY,GR_IP_THRD_TR,GR_IP_THRD_MC,GR_IP_OTH_IND,GR_IP_OTH,GR_IP_TOT,GR_OP_MCAR_TR,GR_OP_MCAR_MC,GR_OP_MCAL_TR,GR_OP_MCAL_MC,GR_OP_CNTY,GR_OP_THRD_TR,GR_OP_THRD_MC,GR_OP_OTH_IND,GR_OP_OTH,GR_OP_TOT,C_ADJ_MCAR_TR,C_ADJ_MCAR_MC,C_ADJ_MCAL_TR,C_ADJ_MCAL_MC,DISP_855,C_ADJ_CNTY,C_ADJ_THRD_TR,C_ADJ_THRD_MC,BAD_DEBT,CHAR_HB,CHAR_OTH,SUB_INDGNT,DED_OTH,CAP_REV_MCAR,CAP_REV_MCAL,CAP_REV_CNTY,CAP_REV_THRD,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,DISP_TRNFR,INTER_TFR,CONTRIBTNS,INC_INVEST,DIST_REV,CNTY_APPRO,EXP_DLY,EXP_AMB,EXP_ANC,EXP_PIP,EXP_POP,EXP_RES,EXP_ED,EXP_GEN,EXP_FISC,EXP_ADM,EXP_UNASSG,EXP_SAL,EXP_BEN,EXP_PHYS,EXP_OTHPRO,EXP_SUPP,EXP_PURCH,EXP_DEPRE,EXP_LEASES,EXP_INSUR,EXP_INTRST,EXP_OTH,CUR_ASST,ASST_LIMTD,NET_PPE,CONST_PROG,INV_OTH,INTAN_ASST,TOT_ASST,CUR_LIAB,DEF_CRED,NET_LTDEBT,EQUITY,LIAB_EQ,CASH,ACCTS_ REC,ALLOW_UNCOLL,BLDGS,EQUIPMENT,TOT_PPE,ACC_DEPRE,MORT_PAY,CAP_LEASE,BOND_PAY,TOT_LTDEBT,CUR_MAT,INTER-REC,INTER_PAY,HOSP_FTE,NURS_FTE,PROD_HRS,NON_PRD_HR,PAID_HRS,MED_STAFF,STDNT_FTE,PRD_HR_MGT,PRD_HR_TCH,PRD_HR_RN,PRD_HR_LVN,PRD_HR_AID,PRD_HR_CLR,PRD_HR_ENV,PRD_HR_OTH,CNT_HR_RN,CNT_HR_OTH,PRD_HR_DLY,PRD_HR_AMB,PRD_HR_ANC,PRD_HR_ED,PRD_HR_GEN,PRD_HR_FIS,PRD_HR_ADM,PRD_HR_NON,PD_HR_DLY,PD_HR_AMB,PD_HR_ANC,PD_HR_ED,PD_HR_GEN,PD_HR_FIS,PD_HR_ADM,PD_HR_NON
106150788,ADVENTIST HEALTH BAKERSFIELD,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Kern,9,617,Non-Profit,General,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,CEO,WWW.ADVENTISTHEALTH.ORG/BAKERSFIELD,ADVENTIST HEALTH,MATT BEYMER,"TOYON ASSOCIATES, INC.",,05-0455,HSC30455F,ZZT30455F,254,254,189,16273,12693,4341,15596,0,2990,16328,0,634,68855,4109,3206,1097,3938,0,755,4123,0,160,17388,254,0,0,0,0,0,68855,0,0,0,0,0,17388,0,0,0,0,0,74.3,74.3,4,4,0,0,0,39286,21017,6847,47536,0,11493,59193,0,6891,192263,83064,52374,0,57293,0,4,522816,369872,4265,4672,2180,824,2036793802,1626868537,0,409925265,2913740,394970758,17868247,4761353,4902856,0,0,17726744,371051488,191015960,1474726354,316560473,268634896,64722142,243622075,0,57828099,270751016,0,12031716,1234150417,167196549,115444665,20403368,179400103,0,53233150,248586485,0,18379065,802643385,395074098,312561941,59896658,346400851,0,0,85856012,377796753,6698074,0,6414360,0,36169790,0,0,0,0,84478597,69889183,24539145,75757474,0,22395678,132211011,0,654177,0,0,0,3120423,0,0,63188006,41264081,135660015,0,0,111171,0,37734336,3601466,106108829,7302854,114387170,50170634,22183958,3346885,73818780,83215924,11697724,1762410,0,2688103,31699170,243412121,0,122366581,9405706,574412,287182,376046002,83639812,0,82126770,210279420,376046002,131267408,282228016,-233689071,169062818,97279015,280684344,158317763,3366797,0,536973,84332770,2206000,22545899,98673158,1584,693,2942171,389419,3331590,636,0,165891,959906,1093262,10999,310376,207814,146115,10556,27139,10113,892598,522780,849340,1519,399833,42435,233666,0,1028234,598326,952851,1708,433784,45346,271341,0
106171049,ADVENTIST HEALTH CLEARLAKE,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Lake,1,115,Non-Profit,General,Comparable,Rural,707-995-5705,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,CEO,,ADVENTIST HEALTH,MATT GOSS,"TOYON ASSOCIATES, INC.",,05-1317,,ZZR00539G,25,25,17,2770,38,228,1897,0,171,274,87,227,5692,706,10,61,480,0,46,76,23,60,1462,23,0,0,0,2,0,5223,0,0,0,469,0,1417,0,0,0,45,0,62.4,62.4,3.9,3.7,0,0,0,40727,1059,78124,68158,0,3077,19819,10895,1643,223502,24039,149786,0,49415,84,2,16543,58243,177,1346,126,33,268630913,170164010,10592837,109059740,953706,98556958,11456488,1241647,661528,0,0,12036607,31764404,105907757,130958752,31769158,461345,2344238,21777707,0,2241032,3424316,1022445,4172059,67212300,57190213,1959993,30906979,75812751,0,6120806,23166660,4310898,1950313,201418613,59153424,1738189,7891346,73200172,-524686,0,3795611,10123632,1337081,0,8841844,0,4607397,0,10592837,0,0,29805947,683149,23876627,33482552,0,4566227,16467344,0,177894,0,-16786,19098,401834,0,0,8654639,38448452,19415619,113584,340383,0,0,7759026,1537799,18915208,3372248,30885198,13780849,15278285,3224017,7567904,20069256,3337816,1568868,26333,1706467,1111965,56237199,0,27924595,5083287,1178477,0,90423558,13011643,0,56069309,21342606,90423558,17316801,33373632,-20774055,34556730,17863241,64397140,36472545,0,0,1082309,57600309,1531000,3818377,58428999,436,146,897906,27977,925883,64,0,102113,194124,145231,29594,112132,174957,65090,56461,17713,491,104162,385129,173276,0,81100,3507,150732,0,107967,398483,178591,0,82723,3602,154517,0
106040875,ADVENTIST HEALTH FEATHER RIVER,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Butte,1,220,Non-Profit,General,Comparable,,530-877-9361,5974 PENTZ RD,PARADISE,95969-5593,HAL CHILTON,PRESIDENT/CEO,FRHOSP.ORG,ADVENTIST HEALTH,DEREK WONG,"TOYON ASSOCIATES, INC.",,05-0225,,ZZR00225F,100,100,40,8762,332,392,2611,0,176,906,0,267,13446,2284,86,136,831,0,49,336,0,73,3795,100,0,0,0,0,0,13446,0,0,0,0,0,3795,0,0,0,0,0,36.8,36.8,3.5,3.5,12,1665,781,168808,6478,19007,101201,0,5595,74230,0,6578,381897,26558,187868,0,169453,0,5,131220,140188,1083,1767,505,199,1139647245,950074388,0,189572857,1164184,192762042,-2025001,13909576,9459609,0,0,2424966,70972105,262142389,806532751,239005763,9894075,13024072,83101749,0,4575499,44944223,0,6103719,400649100,347944493,13993928,24462572,188332956,0,11941479,141085668,0,11237049,738998145,519920245,22400291,8750551,230112263,-1383625,0,12457804,127371076,3809718,0,7173714,0,19462351,0,0,0,0,60741424,1226169,28516940,41634495,0,2663452,53140188,0,1650189,0,0,0,764739,0,0,15430067,46650339,50646531,0,0,0,0,17726705,2939940,51280013,8088447,54356592,26594818,24459576,2314851,24639395,26082060,6067431,1846877,0,2576936,23823506,120926470,0,46739236,3215578,3405965,0,174287249,33363974,30875,71187000,69705400,174287249,55850632,64934903,-50443349,90664551,38873654,143824057,97084821,0,0,0,72961000,1774000,9229960,87838068,835,244,1562232,185181,1747413,152,0,168443,480263,284741,40344,174441,276356,127427,257,7812,2148,211317,500206,375979,0,267247,22177,185306,0,240772,564180,424596,0,291005,24454,202406,0
106190323,ADVENTIST HEALTH GLENDALE,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Los Angeles,11,909,Non-Profit,General,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,ALICE ISSAI,PRESIDENT/CEO,GLENDALEADVENTIST.COM,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0239,HSC30067F,ZZT30067F,515,451,285,50879,7823,12270,14127,0,399,14149,0,964,100611,9899,1669,2148,3110,0,86,2788,0,179,19879,367,80,0,28,40,0,76336,17109,0,7166,0,0,17171,2107,0,601,0,0,53.5,61.1,5.1,5.1,30,3329,1462,59958,14457,6871,49621,0,5697,61070,0,6162,203836,72568,39701,0,83697,0,8,541285,246822,3433,2979,1041,728,2543449335,2094568279,0,448881056,6520274,456059185,-657855,37800543,10884743,0,0,26257945,568525114,280240340,1694683881,856087898,163335570,137388721,298675572,0,8090837,257957783,0,15799107,1737335488,245412153,73087014,29214860,204678176,0,14061776,219656291,0,20003577,806113847,942645910,198883765,118231627,414288932,0,0,14628560,339627997,1787202,0,14084932,0,50389354,0,0,0,0,146381652,35069307,47889374,86965870,0,6292709,125345430,0,936714,0,4627446,30858795,2083597,0,0,84080821,29476395,117921594,0,0,479666,5823357,52236404,11063956,130003789,24973203,143732467,60179067,17366217,7596140,63973198,72643772,15395177,3928675,45043,5284964,65914465,186826540,0,176361005,13748529,7334882,5094418,389365374,77527533,0,161627000,150210841,389365374,53048205,491396811,-416861120,355503872,100903817,470905064,294544059,0,0,0,165330000,3703000,19386485,181490354,1748,756,3447196,266701,3713897,400,21,260413,1047143,1121301,47235,333392,283589,177854,97660,69689,8920,1243649,387562,859469,75759,420527,38590,421640,0,1316578,417984,944333,77305,452679,41079,463939,0
106164029,ADVENTIST HEALTH HANFORD,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Kings,9,615,Non-Profit,General,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93232,ANDREA KOFL,PRESIDENT,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,LIAM CORRIGAN-CARIAS,"TOYON ASSOCIATES, INC.",,05-0121,,ZZT30121F,230,230,124,15302,3524,7510,12049,0,1459,1391,487,2361,44083,3283,755,1610,2585,0,312,301,104,505,9455,230,0,0,0,0,0,44083,0,0,0,0,0,9455,0,0,0,0,0,52.5,52.5,4.7,4.7,8,4037,2189,39723,10439,22773,142437,0,14756,42572,1663,11740,286103,119010,1019,0,160350,3016,12,309591,440145,2653,10719,1659,772,1143413230,847359735,18183594,314237089,3754887,278959338,39032638,7992517,14491467,0,0,32533688,111759830,274181429,757471971,163713883,36645668,36578326,128094897,0,16765402,17226234,4743846,25734309,429502565,140864406,30737301,45843001,298124872,0,36460755,134959065,3350709,23570556,713910665,240543199,53351033,41637902,326753127,-4104113,0,38527587,82051319,10059569,0,20136681,0,38403431,0,18183594,0,0,64035090,14031936,38394691,112100957,0,14698570,70133980,0,841865,0,-453165,0,6191639,0,0,34102810,19334615,85952749,2365940,3932620,0,0,38666147,4476471,74664850,15463136,90336705,38894653,18395532,5624567,40085585,51995950,13101084,1001554,31340,6809235,12683133,396046979,0,160047186,36089964,19675201,98270,611957600,64401651,0,215576176,331979773,611957600,252242963,194116329,-157400266,226646801,88723248,336375932,176328746,0,0,18673,220264176,4688000,47984617,241961956,1379,478,2608197,301617,2909814,273,0,225196,758152,732601,7228,239038,250647,339451,15339,15374,25171,593119,293250,734677,0,534216,85252,367683,0,662560,320492,829023,0,576284,87904,433551,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Mendocino,1,112,Non-Profit,General,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,CEO,WWW.ADVENTISTHEALTH.ORG/HOWARD-MEMORIAL,ADVENTIST HEALTH,MATT GOSS,"TOYON ASSOCIATES, INC.",4,05-1310,,ZZR00440G,25,25,21,3532,290,496,1828,0,155,517,113,159,7090,809,65,125,435,0,38,131,28,40,1671,21,0,0,0,4,0,6115,0,0,0,975,0,1541,0,0,0,130,0,77.7,77.7,4.2,4,0,0,0,16790,1797,2230,19264,0,1650,9901,1094,2168,54894,15216,10659,0,29480,0,2,94184,42697,763,554,0,0,189658789,130521213,5263630,64401206,1775286,65791827,384665,466821,15434,0,0,836052,31344549,28623005,129691235,54982646,4297947,6215212,21865488,0,2706205,11628937,1573651,2631045,105901131,28937972,3075661,2875373,26730232,0,2573363,15538002,1411336,2615719,83757658,60546483,4791350,5645704,37860819,0,0,2415581,10203235,933476,0,4009586,0,4114979,0,5263630,0,0,23374135,2582258,2876897,15541916,0,2863987,16963704,0,198309,0,27844,0,442894,0,0,10228969,7987785,21769160,0,0,0,0,10782799,498743,9081511,5442860,21317155,9622040,5375041,2309808,9700661,7966137,5162015,1162714,152837,877192,2146227,43469529,1030934,56381237,238783,0,0,101120483,10560765,0,25862000,64697718,101120483,18353388,23262829,-15673601,56989875,23873066,82646619,26265382,0,0,26358000,26358000,496000,2707760,98580,224,82,446166,36239,482405,72,0,46976,116774,109671,7548,40274,52811,54617,0,13855,3640,95501,54349,149752,0,102036,5199,39329,0,105059,57426,157841,0,110257,5707,46115,0
106390923,ADVENTIST HEALTH LODI MEMORIAL,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,San Joaquin,6,505,Non-Profit,General,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240-5118,DANIEL WOLCOTT,PRESIDENT,HTTPS://WWW.ADVENTISTHEALTH.ORG/LODIMEMORIAL/PAGES/HOME.ASPX,"LODI MEMORIAL HOSPITAL ASSOCIATION, INC.",MATT BEYMER,"TOYON ASSOCIATES, INC.",,05-0336,HSC00336F,ZZT00336F,190,190,99,16185,3187,2449,7645,0,547,4354,0,559,34926,4269,861,637,1961,0,149,1108,0,152,9137,182,0,0,8,0,0,32963,0,0,1963,0,0,8974,0,0,163,0,0,50.4,50.4,3.8,3.8,15,1662,1155,77137,16867,16979,103561,0,12768,58869,0,7126,293307,58856,152618,7579,73271,0,6,226611,203767,2287,2477,812,289,1458304115,1216880872,2540415,243963658,1121331,237669428,7415561,2235143,4103360,0,0,5547344,289850153,220951296,947502666,404368644,78542351,55941047,169312815,0,13127524,118475898,0,12973683,852741962,160878104,34887485,36444232,198568821,0,14045239,140706682,0,20031590,605562153,490484729,100884433,74063052,322687858,0,0,19705676,157852866,5588479,0,8494329,0,37119450,0,2540415,0,0,69953848,11690457,17842225,47129539,0,5426824,78008223,0,13912542,0,323386,208922,1253386,0,0,32744088,49389431,63371413,0,0,0,0,24402166,4720243,50419489,12622598,75422248,30831971,25463924,4805260,30706271,32176828,11103180,1177900,48486,4373192,21560168,166846673,24864,122133513,3093943,4076079,0,296175072,103199565,0,129969234,63006273,296175072,86350253,216033118,-183025065,184994899,50059243,253130116,130996603,0,453995,132869000,133322995,3353761,24952003,72667012,1054,439,1894468,327047,2221515,276,0,115342,502847,490042,17781,381546,162785,194516,0,23097,6512,399770,469254,530837,0,250152,27576,216879,0,461700,560018,648556,0,289764,28964,232513,0
106100797,ADVENTIST HEALTH REEDLEY,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Fresno,9,607,Non-Profit,General,Comparable,Rural,559-638-8155,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,PRESIDENT/CEO,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0192,HSC00192F,ZZR00192F,49,49,13,933,166,645,2170,0,30,493,0,36,4473,384,68,265,891,0,12,203,0,15,1838,49,0,0,0,0,0,4473,0,0,0,0,0,1838,0,0,0,0,0,25,25,2.4,2.4,12,2081,1225,73537,15189,62374,353747,0,5530,78658,0,25068,614103,39000,534241,0,40475,82,4,19303,20978,87,677,943,349,304635598,132617520,2031132,174049210,4001747,158186696,19864261,1096208,20652,0,0,20939817,13852752,164894555,125888291,6298205,1290736,5762366,19665583,0,292997,4508466,0,379759,38198112,35455746,6975126,27023574,146834303,0,4289019,35955793,0,9903925,266437486,12764165,5523021,10625411,68742556,-3097447,0,2448380,17484900,3152181,0,3608855,0,11365498,0,2031132,0,0,28176462,2328451,21530909,100913401,0,1295164,17716483,0,2088340,0,2345,34054,1028821,0,0,4298818,76299114,17665399,83879,585072,0,2301087,8663392,1012123,41899003,5378809,47436439,21081268,32550734,1463023,12054382,29039369,3435554,3903024,0,477209,6745694,86279861,34070,18190722,2894099,0,9967146,117365898,14621601,0,19050963,83693334,117365898,41080188,56192942,-37742740,12560277,17855220,35271720,17080998,0,0,19301963,19301963,251000,6506331,2374318,819,277,2186849,177839,2364688,221,11,127785,299994,128770,57346,380221,288920,80707,162623,8806,651677,60459,958381,128271,23847,104207,23237,888447,0,67922,1077277,146825,26651,113848,23241,908924,0
106560525,ADVENTIST HEALTH SIMI VALLEY,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Ventura,10,813,Non-Profit,General,Comparable,,805-955-6000,2975 N SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,CEO,WWW.ADVENTISTHEALTH.ORG/SIMI-VALLEY,ADVENTIST HEALTH,JONICA WEIGEL,"TOYON ASSOCIATES, INC.",,05-0236,HSC30236F,ZZT30236F,144,144,76,12407,3308,1234,3551,0,287,5069,0,315,26171,3117,831,310,892,0,72,1273,0,79,6574,144,0,0,0,0,0,26171,0,0,0,0,0,6574,0,0,0,0,0,49.8,49.8,4,4,12,841,482,26652,8270,3607,19254,0,1788,31801,0,3225,94597,41377,0,14111,41988,0,4,106512,49577,2224,1239,368,160,666423331,520004388,0,146418943,13050599,152215874,7253668,1362962,6706236,0,0,1910394,131311443,115058920,420052968,186405324,54970466,17403350,54363268,0,4564105,97891996,0,5412581,421011090,49996528,21385663,11233754,54401024,0,3834361,95708177,0,8852734,245412241,197252399,63793312,22009311,91228487,0,0,6632388,114461848,2819583,0,5110119,0,16696941,0,0,0,0,36503969,11924945,6596973,17535805,0,802642,72538841,0,515768,0,1397023,57613,372491,0,0,19542531,18444987,40263621,0,0,0,0,20497095,3381478,40138226,9947936,50433345,20908068,4834212,1690114,16989331,35414713,8228892,263951,-43659,3563543,9933364,41517585,3560688,124436103,1012978,1042062,2210459,173779875,31124156,0,104984757,37670962,173779875,6098572,95149991,-76034704,171127382,36734647,222965077,98528974,0,0,108349514,108349514,3364757,11651741,13065577,596,224,1105374,148239,1253613,186,0,99203,373952,378472,4168,72579,98351,64375,0,11660,2614,246727,206085,360813,0,144276,26036,121437,0,287784,229579,408271,0,157708,28368,141903,0
106554011,ADVENTIST HEALTH SONORA - GREENLEY,1/1/2018,12/31/2018,365,Audited,Incl. Ind. Audit Adj.,Tuolumne,6,513,Non-Profit,General,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,PRESIDENT,WWW.ADVENTISTHEALTH.ORG/SONORA,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0335,HSC00335F,ZZR00335F,152,152,114,8257,640,23641,3519,0,725,2794,0,113,39689,2059,166,275,793,0,119,725,0,21,4158,84,0,0,0,68,0,15748,0,0,0,23941,0,4087,0,0,0,71,0,71.5,71.5,9.5,3.9,0,0,0,213676,11078,15686,63546,0,13383,108527,0,10828,436724,36432,209921,26666,154352,0,6,158398,561484,1210,5523,329,216,998663413,740395082,0,258268331,7806755,247246219,18828867,3649980,576976,0,0,21901871,103925864,144643327,750094222,179761587,12283029,22479803,51674505,0,8987562,48208341,0,1487652,324882479,346376072,18980409,15685501,98290722,0,24132387,159467530,0,10848313,673780934,421259222,25587261,8615789,122354112,-142576,0,20320952,116938725,2674078,0,4749328,0,18038191,0,0,0,0,103306699,5460135,29489670,27514950,0,10916546,80438220,0,1142111,0,6756281,10893,2875863,0,0,23182795,64663061,75145214,0,0,0,0,25262775,4104972,49912980,4974422,75299687,34166810,28720712,1360965,40587362,51364629,5326857,2844838,0,1378674,6195685,185053009,0,50281307,42610136,5011916,433978,283390346,38759358,0,79081876,165549112,283390346,122281974,123940018,-92443172,69774365,40849378,125769736,75488429,0,0,81667876,81667876,2586000,8915544,7481661,1094,393,2037055,261645,2298700,237,0,123967,513297,450471,65926,277830,353725,149314,79931,22309,285,338777,698695,556052,0,293927,26067,123537,0,389881,776528,632480,0,322498,27085,150228,0
